Sales,Item
-0.5156722289263727,IT001
-1.9164850429246594,IT001
0.05618009632935017,IT001
0.8906993562261545,IT001
2.6226101335509178,IT001
0.3646504461039951,IT001
-1.6631096471611122,IT001
-3.824551545764096,IT001
-2.37006971343761,IT001
-4.999382884922208,IT001
-5.03880082402124,IT001
-5.825583821031391,IT001
-6.3738393682032655,IT001
-5.851862190130904,IT001
-8.485247774675717,IT001
-10.154168312622364,IT001
-6.964721685226671,IT001
-7.741893201458145,IT001
-7.8279301345456975,IT001
-5.711798798613002,IT001
-8.144772346763515,IT001
-10.514850098616655,IT001
-4.838213940446822,IT001
-4.839664607389115,IT001
-3.6232449857206106,IT001
-5.289556647574828,IT001
-6.757624244164477,IT001
-9.256187163434525,IT001
-8.21319549940413,IT001
-10.335051226444927,IT001
-11.776391249079321,IT001
-11.490727273947167,IT001
-7.7690400951526755,IT001
-11.706348942131832,IT001
-12.225250050917246,IT001
-11.534901164318073,IT001
-9.953208922873946,IT001
-7.118640255724965,IT001
-11.67084478025101,IT001
-8.131418314317868,IT001
-12.644795351207112,IT001
-8.763500693882088,IT001
-7.773051170507601,IT001
-7.513744224286686,IT001
-10.52694927458089,IT001
-8.49920077466771,IT001
-5.633421799665111,IT001
-3.725949890890888,IT001
-8.752744782624424,IT001
-8.565129285341662,IT001
-8.17605025939151,IT001
-8.712305704401533,IT001
-5.515777328451634,IT001
-11.140607191317805,IT001
-10.184373891564066,IT001
-6.595902087437152,IT001
-12.03373321587975,IT001
-9.268098346520839,IT001
-6.698537049942481,IT001
-8.812341694604736,IT001
-4.850502366454457,IT001
-4.431334892320008,IT001
-9.582628995265262,IT001
-3.422245462693232,IT001
-9.616145503363306,IT001
-6.048422811559113,IT001
-6.633947120854724,IT001
-2.7610528977986757,IT001
-6.829588585498255,IT001
-2.765512733312603,IT001
-7.652476375877224,IT001
-7.851118930651539,IT001
-4.7596466396130115,IT001
-4.536666190055369,IT001
-9.173280914875466,IT001
-3.3284244108456944,IT001
-4.574446707693913,IT001
-2.3063873733191222,IT001
-5.4308154285883194,IT001
-7.873769871493276,IT001
-2.781061241253144,IT001
-7.8869856059793735,IT001
-2.6468659241607218,IT001
-4.961562023720327,IT001
-6.865915488979704,IT001
-5.571186861463847,IT001
-3.16045414814841,IT001
-8.338557128964277,IT001
-7.618420851664358,IT001
-5.6651138480584,IT001
-5.712309695108282,IT001
-4.98075510265518,IT001
-5.3404603750595125,IT001
-8.414954572150842,IT001
-5.825611652915605,IT001
-10.12583494731075,IT001
-10.597515540833893,IT001
-12.111685432824457,IT001
-9.820029552769297,IT001
-10.448552742806216,IT001
-9.024628141924792,IT001
-12.144623082236135,IT001
-13.270514704845985,IT001
-10.694972566640075,IT001
-11.269264407008983,IT001
-7.583666926740874,IT001
-9.71647348867773,IT001
-11.429164010543808,IT001
-12.723954027707682,IT001
-13.09174350742474,IT001
-8.281139744864406,IT001
-14.669786105970223,IT001
-14.944420729665113,IT001
-12.451161133328,IT001
-9.597959848420944,IT001
-10.862136709995134,IT001
-9.875999104276538,IT001
-9.761437944197679,IT001
-7.052715803227576,IT001
-8.512960195630317,IT001
-5.393580935442683,IT001
-9.101211983944417,IT001
-7.491219774082073,IT001
-4.240890393469421,IT001
-9.061964264380503,IT001
-5.408467649005392,IT001
-9.481158687034045,IT001
-8.940686884720849,IT001
-6.8193137801612975,IT001
-9.44272179981016,IT001
-8.1286039479475,IT001
-7.026075395137811,IT001
-8.080391932513827,IT001
-6.957664069681343,IT001
-9.292298362172048,IT001
-6.766320235618004,IT001
-6.054426803005261,IT001
-5.0668498676321105,IT001
-7.3212417062804365,IT001
-5.602701050654937,IT001
-9.354681729076757,IT001
-9.226582710853904,IT001
-4.521610343906482,IT001
-3.4782325944964603,IT001
-5.358258335569251,IT001
-7.773526593695887,IT001
-8.203995068272068,IT001
-9.63755543245122,IT001
-11.387344021162711,IT001
-10.365044166473456,IT001
-9.877679064657086,IT001
-11.346765812746371,IT001
-6.8643535660872885,IT001
-11.551870670445393,IT001
-11.528268693717179,IT001
-9.40296072266844,IT001
-10.347867949388544,IT001
-11.675508668856686,IT001
-8.710248435713872,IT001
-8.369779348952624,IT001
-6.8607446660695555,IT001
-9.288682294203186,IT001
-8.863769358854672,IT001
-10.231986089464272,IT001
-10.494500266474725,IT001
-12.065473397497144,IT001
-9.30534436622572,IT001
-8.59751103004748,IT001
-9.493564349722778,IT001
-10.563285227624934,IT001
-8.149894653855732,IT001
-12.106045283859265,IT001
-8.755996571785788,IT001
-13.147567716479003,IT001
-10.843400212216007,IT001
-11.340429722426823,IT001
-8.698685061110874,IT001
-14.55585880706534,IT001
-13.316501078535623,IT001
-9.077821944680663,IT001
-7.67033376602793,IT001
-7.475380086059732,IT001
